"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"beta-D-mannosyl group","NA","NA","NA","NA","NA","0"
"cedrol","Cedrol","HMDB0303492","65575","C09631","CC1CCC2C(C)(C)C3CC12CCC3(C)O","1"
"7-methoxyisoflavone","NA","NA","NA","NA","NA","0"
"beta-obscurine","NA","NA","NA","NA","NA","0"
"methohexital","Methohexital","HMDB0014617","9034","C07844","CCC#CC(C)C1(CC=C)C(=O)NC(=O)N(C)C1=O","1"
"gingerol","Gingerol","HMDB0005783","3473","C10462","CCCCCC(O)CC(=O)CCC1=CC=C(O)C(OC)=C1","1"
"zaleplon","Zaleplon","HMDB0015097","5719","C07484","CCN(C(C)=O)C1=CC=CC(=C1)C1=CC=NC2=C(C=NN12)C#N","1"
"N,N-dipropyl-2-(pyrrolidin-1-yl)quinazolin-4-amine","NA","NA","NA","NA","NA","0"
"N,N-dibutyl-2-(pyridin-4-yl)quinazolin-4-amine","NA","NA","NA","NA","NA","0"
"losmapimod","NA","NA","NA","NA","NA","0"
"1,2-didecanoylglycerol","DG(10:0/10:0/0:0)","HMDB0092961","162916","C03199","[H][C@](CO)(COC(=O)CCCCCCCCC)OC(=O)CCCCCCCCC","1"
"fosinoprilat","fosinoprilat",NA,NA,NA,"[H][C@]1(C[C@H](N(C1)C(=O)CP(O)(=O)CCCCc1ccccc1)C(O)=O)C1CCCCC1","1"
"withanolide D","Withanolide D",NA,"118701104","C08842","CC1=C(C)C(=O)OC((C)(O)2CC3C4C5O56(O)C=CC(=O)6(C)4CC32C)C1","1"
"N-octadecanoyl-15-methylhexadecasphingosine-1-phosphocholine","NA","NA","NA","NA","NA","0"
"N-tetracosanoyl-14-methylhexadecasphinganine-1-phosphocholine","NA","NA","NA","NA","NA","0"
"1-hexadecanoyl-2,3-dioctadecanoyl-sn-glycerol","NA","NA","NA","NA","NA","0"
"3-(all-trans-octaprenyl)benzene-1,2-diol","3-(all-trans-octaprenyl)benzene-1,2-diol","HMDB0304113","5280833","C05811","[H]\C(CC\C(C)=C(/[H])CC\C(C)=C(/[H])CC\C(C)=C(/[H])CC\C(C)=C(/[H])CC\C(C)=C(/[H])CC\C(C)=C(/[H])CC1=C(O)C(O)=CC=C1)=C(\C)CCC=C(C)C","1"
